State,City,Season,Average,Std dev,,
NSW,Sydney,Winter,18,15.31,2.38,1.112790962
NSW,Sydney,Winter,19,14.79,2.15,1.074405242
NSW,Sydney,Winter,20,14.38,2.08,1.044549682
NSW,Sydney,Winter,21,13.94,2.14,1.01303548
NSW,Sydney,Winter,22,13.41,2.1,0.974491794
NSW,Sydney,Winter,23,12.82,2.02,0.931683028
QLD,Brisbane,Autumn,0,19.39,3.46,0.911905446
QLD,Brisbane,Autumn,1,19.09,3.45,0.897747964
QLD,Brisbane,Autumn,2,18.71,3.53,0.879706117
QLD,Brisbane,Autumn,3,18.33,3.61,0.861664271
QLD,Brisbane,Autumn,4,18.07,3.61,0.84970452
QLD,Brisbane,Autumn,5,17.89,3.65,0.841399138
QLD,Brisbane,Autumn,6,17.72,3.7,0.833093755
QLD,Brisbane,Autumn,7,18.51,3.83,0.870199649
QLD,Brisbane,Autumn,8,20.49,3.46,0.963373263
QLD,Brisbane,Autumn,9,22.47,3.1,1.056546877
QLD,Brisbane,Autumn,10,23.66,2.67,1.112410158
QLD,Brisbane,Autumn,11,24.15,2.53,1.135793004
QLD,Brisbane,Autumn,12,24.65,2.4,1.159175851
QLD,Brisbane,Autumn,13,25,2.36,1.175479955
QLD,Brisbane,Autumn,14,24.77,2.42,1.164823511
QLD,Brisbane,Autumn,15,24.55,2.47,1.154167066
QLD,Brisbane,Autumn,16,23.92,2.47,1.124727679
QLD,Brisbane,Autumn,17,23.05,2.59,1.083609647
QLD,Brisbane,Autumn,18,22.17,2.71,1.042491615
QLD,Brisbane,Autumn,19,21.68,2.74,1.019338764
QLD,Brisbane,Autumn,20,21.25,2.89,0.999329181
QLD,Brisbane,Autumn,21,20.83,3.05,0.979319598
QLD,Brisbane,Autumn,22,20.25,3.17,0.952026833
QLD,Brisbane,Autumn,23,19.82,3.31,0.93196614
QLD,Brisbane,Spring,0,18.66,2.85,0.908055928
QLD,Brisbane,Spring,1,18.14,2.95,0.882652396
QLD,Brisbane,Spring,2,17.7,3,0.861634316
QLD,Brisbane,Spring,3,17.27,3.06,0.840616236
QLD,Brisbane,Spring,4,16.89,3.08,0.821897844
QLD,Brisbane,Spring,5,17.11,3.29,0.832807993
QLD,Brisbane,Spring,6,17.34,3.51,0.843718141
QLD,Brisbane,Spring,7,19.16,3.26,0.932550281
QLD,Brisbane,Spring,8,20.79,2.97,1.011996484
QLD,Brisbane,Spring,9,22.43,2.68,1.091442687
QLD,Brisbane,Spring,10,23.29,2.87,1.133478847
QLD,Brisbane,Spring,11,23.61,2.93,1.149015112
QLD,Brisbane,Spring,12,23.93,2.99,1.164551377
QLD,Brisbane,Spring,13,23.96,2.93,1.166155811
QLD,Brisbane,Spring,14,23.73,3.03,1.154817813
QLD,Brisbane,Spring,15,23.5,3.13,1.143479816
QLD,Brisbane,Spring,16,22.85,3.12,1.112300323
QLD,Brisbane,Spring,17,22.01,2.98,1.071387267
QLD,Brisbane,Spring,18,21.17,2.85,1.03047421
QLD,Brisbane,Spring,19,20.71,2.69,1.007691253
QLD,Brisbane,Spring,20,20.34,2.65,0.990042484
QLD,Brisbane,Spring,21,19.98,2.61,0.972393715
QLD,Brisbane,Spring,22,19.49,2.74,0.948541135
QLD,Brisbane,Spring,23,19.07,2.79,0.928298532
QLD,Brisbane,Summer,0,23.36,1.78,0.940132294
QLD,Brisbane,Summer,1,22.95,1.86,0.923454403
QLD,Brisbane,Summer,2,22.54,1.98,0.907178927
QLD,Brisbane,Summer,3,22.14,2.1,0.890903451
QLD,Brisbane,Summer,4,21.75,2.31,0.875119816
QLD,Brisbane,Summer,5,22.06,2.27,0.887617057
QLD,Brisbane,Summer,6,22.37,2.23,0.900114297
QLD,Brisbane,Summer,7,23.91,1.98,0.96222044
QLD,Brisbane,Summer,8,25.15,2,1.011941124
QLD,Brisbane,Summer,9,26.38,2.02,1.061661809
QLD,Brisbane,Summer,10,26.96,2.07,1.084957201
QLD,Brisbane,Summer,11,27.33,2.2,1.099980718
QLD,Brisbane,Summer,12,27.71,2.33,1.115004234
QLD,Brisbane,Summer,13,27.85,2.42,1.120593339
QLD,Brisbane,Summer,14,27.69,2.39,1.114288828
QLD,Brisbane,Summer,15,27.53,2.35,1.107984317
QLD,Brisbane,Summer,16,26.95,2.29,1.084510073
QLD,Brisbane,Summer,17,26.1,1.98,1.050416528
QLD,Brisbane,Summer,18,25.26,1.67,1.016322983
QLD,Brisbane,Summer,19,24.61,1.68,0.990255394
QLD,Brisbane,Summer,20,24.33,1.7,0.979144252
QLD,Brisbane,Summer,21,24.06,1.72,0.96803311
QLD,Brisbane,Summer,22,23.82,1.7,0.958732838
QLD,Brisbane,Summer,23,23.59,1.74,0.949432566
QLD,Brisbane,Winter,0,13.11,2.69,0.838542219
QLD,Brisbane,Winter,1,12.61,2.65,0.806349429
QLD,Brisbane,Winter,2,12.17,2.69,0.77825896
QLD,Brisbane,Winter,3,11.73,2.73,0.750168491
QLD,Brisbane,Winter,4,11.26,2.77,0.719992096
QLD,Brisbane,Winter,5,10.89,2.97,0.696316836
QLD,Brisbane,Winter,6,10.52,3.18,0.672641577
QLD,Brisbane,Winter,7,10.99,3.05,0.702817972
QLD,Brisbane,Winter,8,13.64,2.55,0.872542811
QLD,Brisbane,Winter,9,16.29,2.04,1.04226765
QLD,Brisbane,Winter,10,18.46,1.97,1.180981723
QLD,Brisbane,Winter,11,19.56,1.83,1.250964538
QLD,Brisbane,Winter,12,20.65,1.69,1.320947352
QLD,Brisbane,Winter,13,21.02,1.68,1.344796439
QLD,Brisbane,Winter,14,20.86,1.65,1.334262513
QLD,Brisbane,Winter,15,20.69,1.63,1.323728587
QLD,Brisbane,Winter,16,19.86,1.54,1.270651323
QLD,Brisbane,Winter,17,18.48,1.65,1.182429264
QLD,Brisbane,Winter,18,17.11,1.77,1.094207205
QLD,Brisbane,Winter,19,16.37,1.89,1.046926218
QLD,Brisbane,Winter,20,15.71,2.08,1.005068638
QLD,Brisbane,Winter,21,15.06,2.26,0.963211058
QLD,Brisbane,Winter,22,14.41,2.37,0.921770663
QLD,Brisbane,Winter,23,13.76,2.53,0.880156441
