# Weather station Brisbane (airport), Australia, WMO_ID=94578,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94578&lang=en
#
"Local time in Brisbane (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.06.2019 16:00";"16.1";"769.3";"770.1";"-0.6";"89";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"26.06.2019 15:00";"15.9";"769.1";"769.9";"-1.3";"90";"Wind blowing from the south-southeast";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"10%  or less, but not 0";"300-600";"Altostratus opacus or Nimbostratus.";"";"12.0";"14.3";"4.0";"6";"";"";"";"";
"26.06.2019 13:00";"16.0";"769.9";"770.7";"-1.0";"84";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"26.06.2019 12:00";"16.2";"770.4";"771.2";"-0.4";"89";"Wind blowing from the south";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Shower(s).";"Rain.";"14.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"12.0";"14.3";"";"";"";"";"";"";
"26.06.2019 10:00";"15.8";"770.9";"771.7";"1.1";"91";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"26.06.2019 09:00";"15.7";"770.8";"771.7";"1.2";"93";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"20.0";"14.5";"18.0";"24";"";"";"";"";
"26.06.2019 07:00";"14.6";"769.8";"770.6";"0.9";"96";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"26.06.2019 06:00";"14.5";"769.6";"770.4";"0.8";"97";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"15.0";"14.0";"";"";"";"";"";"";
"26.06.2019 04:00";"14.8";"768.9";"769.7";"-0.1";"96";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"26.06.2019 03:00";"14.7";"768.8";"769.6";"-0.4";"94";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"15.0";"13.8";"2.0";"6";"";"";"";"";
"26.06.2019 01:00";"14.8";"769.0";"769.9";"-0.6";"94";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"26.06.2019 00:00";"15.2";"769.2";"770.0";"-0.1";"93";"Wind blowing from the south";"5";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"";"";"15.0";"14.1";"";"";"";"";"";"";
"25.06.2019 22:00";"14.8";"769.6";"770.5";"0.6";"97";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"25.06.2019 21:00";"15.1";"769.3";"770.2";"0.7";"93";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"20.0";"14.0";"7.0";"6";"";"";"";"";
"25.06.2019 19:00";"15.3";"769.0";"769.9";"0.9";"93";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"25.06.2019 18:00";"15.5";"768.6";"769.4";"0.9";"93";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"300-600";"";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"18.0";"14.3";"";"";"";"";"";"";
"25.06.2019 16:00";"16.8";"768.1";"768.9";"0.3";"92";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"25.06.2019 15:00";"18.4";"767.7";"768.5";"-0.4";"70";"Wind blowing from the east-southeast";"5";"";"";"90  or more, but not 100%";"Rain shower(s), moderate or heavy. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"12.8";"0.6";"6";"";"";"";"";
"25.06.2019 13:00";"18.9";"767.8";"768.6";"-1.0";"76";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"25.06.2019 12:00";"17.5";"768.1";"769.0";"-0.7";"86";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"11.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"20.0";"15.1";"";"";"";"";"";"";
"25.06.2019 10:00";"16.5";"768.8";"769.6";"0.4";"83";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"25.06.2019 09:00";"15.7";"768.8";"769.6";"0.7";"87";"Wind blowing from the south-southwest";"5";"";"";"70 – 80%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"20.0";"13.5";"3.0";"24";"";"";"";"";
"25.06.2019 07:00";"12.8";"768.4";"769.3";"0.9";"95";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"25.06.2019 06:00";"12.3";"768.1";"769.0";"0.6";"96";"Wind blowing from the south-southwest";"5";"";"";"50%.";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"11.7";"";"";"";"";"";"";
"25.06.2019 04:00";"12.0";"767.5";"768.3";"0.1";"97";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"25.06.2019 03:00";"12.9";"767.5";"768.4";"-0.2";"96";"Wind blowing from the south-southwest";"5";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"8.0";"12.3";"2.0";"6";"";"";"";"";
"25.06.2019 01:00";"11.7";"767.4";"768.2";"-0.5";"95";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"25.06.2019 00:00";"12.1";"767.7";"768.5";"-0.1";"95";"Wind blowing from the south-southwest";"5";"";"";"60%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"20.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"13.0";"11.3";"";"";"";"";"";"";
"24.06.2019 22:00";"12.0";"767.9";"768.7";"0.3";"90";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"24.06.2019 21:00";"13.0";"767.8";"768.6";"0.4";"77";"Wind blowing from the south-southwest";"5";"";"";"40%.";"Rain, not freezing, continuous, slight at time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"less than 0.1";"9.0";"Trace of precipitation";"6";"";"";"";"";
"24.06.2019 19:00";"12.3";"767.6";"768.4";"1.1";"75";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"24.06.2019 18:00";"15.2";"767.4";"768.2";"1.7";"64";"Wind blowing from the south";"3";"";"";"50%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"8.4";"";"";"";"";"";"";
"24.06.2019 16:00";"18.0";"766.5";"767.2";"0.8";"50";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"24.06.2019 15:00";"18.8";"765.7";"766.6";"-0.5";"44";"Wind blowing from the south-southwest";"5";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"6.2";"No precipitation";"6";"";"";"";"";
"24.06.2019 13:00";"19.0";"765.7";"766.5";"-1.4";"42";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"24.06.2019 12:00";"18.3";"766.2";"767.0";"-0.7";"44";"Wind blowing from the south-southwest";"6";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.8";"";"";"";"";"";"";
"24.06.2019 10:00";"16.5";"767.1";"767.9";"0.8";"54";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"24.06.2019 09:00";"14.4";"766.9";"767.8";"1.2";"60";"Wind blowing from the south-southwest";"7";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"6.7";"No precipitation";"24";"";"";"";"";
"24.06.2019 07:00";"10.1";"766.3";"767.0";"1.0";"81";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"24.06.2019 06:00";"10.2";"765.7";"766.5";"0.6";"80";"Wind blowing from the south-southwest";"5";"";"";"10%  or less, but not 0";"Clouds generally forming or developing. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"6.8";"";"";"";"";"";"";
"24.06.2019 04:00";"10.9";"765.3";"766.0";"-0.1";"78";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"24.06.2019 03:00";"12.0";"765.1";"765.9";"-0.4";"74";"Wind blowing from the south-southwest";"4";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"7.4";"No precipitation";"6";"";"";"";"";
"24.06.2019 01:00";"11.7";"765.4";"766.2";"-0.4";"84";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"24.06.2019 00:00";"13.1";"765.5";"766.3";"-0.1";"81";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"20.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"9.8";"";"";"";"";"";"";
"23.06.2019 22:00";"14.1";"765.8";"766.6";"0.7";"79";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"23.06.2019 21:00";"14.7";"765.6";"766.4";"0.6";"67";"Wind blowing from the south";"3";"";"";"60%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"8.5";"No precipitation";"6";"";"";"";"";
"23.06.2019 19:00";"15.9";"765.1";"765.9";"0.9";"60";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"23.06.2019 18:00";"16.4";"765.0";"765.8";"1.1";"55";"Wind blowing from the south-southeast";"4";"";"";"50%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"7.3";"";"";"";"";"";"";
"23.06.2019 16:00";"18.3";"764.2";"765.0";"0.1";"52";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"23.06.2019 15:00";"18.7";"763.9";"764.7";"-0.8";"51";"Wind blowing from the east-southeast";"4";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"8.2";"No precipitation";"6";"";"";"";"";
"23.06.2019 13:00";"19.4";"764.1";"764.8";"-2.0";"50";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"23.06.2019 12:00";"19.2";"764.7";"765.5";"-1.2";"49";"Wind blowing from the south";"4";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"7.9";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"8.3";"";"";"";"";"";"";
"23.06.2019 10:00";"14.6";"766.1";"766.9";"0.5";"55";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"23.06.2019 09:00";"13.0";"765.9";"766.7";"0.8";"59";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.0";"No precipitation";"24";"";"";"";"";
"23.06.2019 07:00";"9.7";"765.6";"766.3";"0.9";"72";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"23.06.2019 06:00";"9.3";"765.1";"766.0";"0.3";"74";"Wind blowing from the south-southwest";"4";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"4.8";"";"";"";"";"";"";
